index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors
364,Veronica,2017,6.2,1,0,0,0,"Elizabeth Banks,Steven Brill,Steve Carr,Rusty Cundieff,James Duffy,Griffin Dunne,Peter Farrelly,Patrik Forsberg,Will Graham,James Gunn,Brett Ratner,Jonathan van Tulleken,Bob Odenkirk"
365,The Cakemaker,2017,7.2,1,0,0,0,Ofir Raul Graizer
366,Instructions Not Included,2013,7.5,1,0,0,0,Eugenio Derbez
367,Bleed for This,2016,6.8,1,0,0,0,Ben Younger
368,Girl,2018,7.2,1,0,1,0,Lukas Dhont
369,The Naked Gun 2½: The Smell of Fear,1991,6.9,1,0,0,0,David Zucker
370,Bareilly's Barfi,2017,7.5,1,0,0,0,Ashwiny Iyer Tiwari
371,The Sky Is Pink,2019,7.5,1,0,0,0,Shonali Bose
372,Chitty Chitty Bang Bang,1968,6.9,1,0,0,0,Ken Hughes
373,A Wednesday!,2008,8.1,1,0,0,0,Neeraj Pandey
374,Jodhaa Akbar,2008,7.6,1,0,0,0,Ashutosh Gowariker
375,Handsome Devil,2017,7.1,1,0,0,0,John Butler
376,"Love, Rosie",2014,7.2,1,0,1,0,Christian Ditter
377,Oceans,2009,7.8,1,0,0,0,"Jacques Perrin,Jacques Cluzaud"
378,The Ritual,2017,6.3,1,0,0,0,David Bruckner
379,Super Dark Times,2017,6.6,1,0,0,0,Kevin Phillips
380,Tallulah,2016,6.7,1,0,0,0,Sian Heder
